pupid,educ_attain,treat,schid,grade,winn01,winn02,age01,test00,test01,test02,c1,weight,in_school,math,cognitive,vocab
2246011,9,1,224,6,0,0,13,0.27351513504981995,0.5662670731544495,-0.5618578791618347,1,1,1,1.0452960729599,-0.3594059944152832,1.2495677471160889
2246013,9,1,224,6,1,0,14,NA,1.1283646821975708,-0.06759677827358246,1,1,1,-0.18322870135307312,0.34437647461891174,-0.360554039478302
2246014,9,1,224,6,0,0,14,NA,0.0643942654132843,0.24131639301776886,1,1,1,1.9666897058486938,1.2241045236587524,0.7128604650497437
2246015,11,1,224,6,0,0,12,0.23469838500022888,0.32536813616752625,0.653200626373291,1,5,1,0.4310337007045746,0.6962677240371704,1.2495677471160889
2246016,9,1,224,6,0,0,13,0.7587248086929321,0.6465667486190796,0.05596848949790001,1,1,1,0.7381649017333984,0.6962677240371704,1.0706652402877808
2246018,8,1,224,6,0,0,13,-0.42518672347068787,-0.8590517044067383,0.05596848949790001,1,1,0,-0.490359902381897,1.048158884048462,0.5339580178260803
2246019,9,1,224,6,0,0,14,NA,0.7870911359786987,NA,1,1,1,0.12390250712633133,-0.5353516340255737,0.7128604650497437
2246025,9,1,224,6,1,0,11,0.42878222465515137,0.9476904273033142,0.09715691208839417,1,1,1,1.0452960729599,0.6962677240371704,1.4284701347351074
2246026,7,1,224,6,0,0,NA,NA,NA,NA,1,5,1,-0.490359902381897,-0.18346038460731506,-0.360554039478302
2246028,9,1,224,6,0,0,13,0.06002290919423103,0.7469412684440613,NA,1,1,1,-0.18322870135307312,0.8722133040428162,0.5339580178260803
2246033,10,1,224,6,1,0,12,NA,1.409413456916809,0.7355774641036987,1,1,1,0.4310337007045746,0.6962677240371704,1.4284701347351074
2246035,9,1,224,6,0,0,13,NA,0.22499357163906097,0.8179543018341064,1,1,1,0.4310337007045746,-0.88724285364151,0.17615319788455963
2246036,9,1,224,6,0,0,13,NA,0.38559287786483765,NA,1,1,1,0.7381649017333984,0.5203220844268799,1.0706652402877808
2246038,9,1,224,6,0,0,13,0.11824806779623032,-0.056055210530757904,0.6326064467430115,1,1,1,0.4310337007045746,2.279778242111206,-0.0027492118533700705
2246048,9,1,224,6,0,0,12,0.6810912489891052,0.10454408824443817,NA,1,1,1,0.12390250712633133,0.6962677240371704,1.4284701347351074
2246051,10,1,224,6,0,0,12,1.0692589282989502,0.9276155233383179,0.9003311991691589,1,1,1,-0.18322870135307312,-0.5353516340255737,1.0706652402877808
2255004,8,1,225,5,0,0,12,-0.8594669699668884,NA,-0.5050546526908875,0,1,0,1.352427363395691,1.048158884048462,-0.0027492118533700705
2255005,8,1,225,5,0,0,11,-0.07436060905456543,NA,NA,0,1,1,1.6595585346221924,0.6962677240371704,1.4284701347351074
2255006,6,1,225,5,0,0,14,NA,NA,NA,0,1,1,-0.490359902381897,-0.7112972140312195,-0.7183588743209839
2255008,7,1,225,5,0,0,13,-0.4556979835033417,NA,-0.3806558847427368,0,1,0,-0.7974911332130432,-0.18346038460731506,-0.5394564867019653
2255010,6,1,225,5,0,0,10,-0.5902876853942871,NA,-1.0855821371078491,0,1,1,0.12390250712633133,-0.88724285364151,0.17615319788455963
2255011,7,1,225,5,0,0,14,-0.23138189315795898,NA,NA,0,1,0,-0.18322870135307312,-0.18346038460731506,-0.5394564867019653
2255012,7,1,225,5,0,0,13,0.5312928557395935,NA,NA,0,1,1,-0.18322870135307312,-0.007514761295169592,-1.0761637687683105
2255014,8,1,225,5,0,0,11,-0.2762451171875,NA,-0.04892589896917343,0,1,1,0.4310337007045746,0.8722133040428162,0.7128604650497437
2255015,7,1,225,5,0,0,15,-1.0613515377044678,NA,NA,0,1,1,-0.18322870135307312,0.5203220844268799,-1.255066156387329
2255028,8,1,225,5,0,0,11,0.23968194425106049,NA,-0.2355240136384964,0,1,1,0.12390250712633133,-0.007514761295169592,-0.0027492118533700705
2255032,7,1,225,5,0,0,12,NA,NA,NA,0,1,1,0.4310337007045746,0.6962677240371704,0.17615319788455963
2255045,7,1,225,5,0,0,13,NA,NA,NA,0,1,0,-0.18322870135307312,-1.2391340732574463,-1.9706758260726929
2255048,7,1,225,5,0,0,14,NA,NA,NA,0,1,1,0.12390250712633133,-1.0631884336471558,-2.149578094482422
2255049,7,1,225,5,0,0,12,-0.6127192974090576,NA,-0.4013890027999878,0,1,1,0.12390250712633133,1.751941442489624,0.8917628526687622
2255051,8,1,225,5,0,0,13,-0.43326637148857117,NA,NA,0,1,0,-0.18322870135307312,0.8722133040428162,-0.360554039478302
2255054,8,1,225,5,0,0,13,-0.4781295955181122,NA,-0.5257877707481384,0,1,0,0.7381649017333984,1.400050163269043,0.7128604650497437
2255062,8,1,225,5,0,0,12,NA,NA,-0.5879871249198914,0,1,0,-0.490359902381897,-0.18346038460731506,0.5339580178260803
2255063,7,1,225,5,0,0,14,NA,NA,NA,0,1,1,-0.18322870135307312,-0.5353516340255737,-1.7917733192443848
2255073,7,1,225,5,0,0,11,NA,NA,NA,0,1,1,1.6595585346221924,0.5203220844268799,0.7128604650497437
2255076,7,1,225,5,0,0,14,NA,NA,NA,0,5,0,0.12390250712633133,-0.88724285364151,-0.5394564867019653
